group,function,value,sample_time_nanos,iteration_count
fib 10,,,1233725.0,17
fib 10,,,1951639.0,34
fib 10,,,2978998.0,51
fib 10,,,3944380.0,68
fib 10,,,5954831.0,85
fib 10,,,7511330.0,102
fib 10,,,7274772.0,119
fib 10,,,8213486.0,136
fib 10,,,8945660.0,153
fib 10,,,10108345.0,170
fib 10,,,10826236.0,187
fib 10,,,12021365.0,204
fib 10,,,12866604.0,221
fib 10,,,15248607.0,238
fib 10,,,14813866.0,255
fib 10,,,15809568.0,272
fib 10,,,16781600.0,289
fib 10,,,17848415.0,306
fib 10,,,18720746.0,323
fib 10,,,20025377.0,340
fib 10,,,20733908.0,357
fib 10,,,21750737.0,374
fib 10,,,22651704.0,391
fib 10,,,23704710.0,408
fib 10,,,24702815.0,425
fib 10,,,26033172.0,442
fib 10,,,26716355.0,459
fib 10,,,27541169.0,476
fib 10,,,28706183.0,493
fib 10,,,29735982.0,510
fib 10,,,30659415.0,527
fib 10,,,31584503.0,544
fib 10,,,33283951.0,561
fib 10,,,35530535.0,578
fib 10,,,41825754.0,595
fib 10,,,36107428.0,612
fib 10,,,36837872.0,629
fib 10,,,37603511.0,646
fib 10,,,38895821.0,663
fib 10,,,39574419.0,680
fib 10,,,40585547.0,697
fib 10,,,41551115.0,714
fib 10,,,42597000.0,731
fib 10,,,43987148.0,748
fib 10,,,44552035.0,765
fib 10,,,45868814.0,782
fib 10,,,47201650.0,799
fib 10,,,47628737.0,816
fib 10,,,48637949.0,833
fib 10,,,49529739.0,850
fib 10,,,50472946.0,867
fib 10,,,51554118.0,884
fib 10,,,53180631.0,901
fib 10,,,53481979.0,918
fib 10,,,54675322.0,935
fib 10,,,60670771.0,952
fib 10,,,65555594.0,969
fib 10,,,58498160.0,986
fib 10,,,62241581.0,1003
fib 10,,,60446360.0,1020
fib 10,,,61235380.0,1037
fib 10,,,64170845.0,1054
fib 10,,,64523426.0,1071
fib 10,,,63292875.0,1088
fib 10,,,67980454.0,1105
fib 10,,,68533281.0,1122
fib 10,,,66191880.0,1139
fib 10,,,67479873.0,1156
fib 10,,,68374397.0,1173
fib 10,,,69263033.0,1190
fib 10,,,77102842.0,1207
fib 10,,,78432082.0,1224
fib 10,,,72220861.0,1241
fib 10,,,73215073.0,1258
fib 10,,,74074548.0,1275
fib 10,,,75129875.0,1292
fib 10,,,76309438.0,1309
fib 10,,,78747457.0,1326
fib 10,,,78089775.0,1343
fib 10,,,79832956.0,1360
fib 10,,,80161949.0,1377
fib 10,,,81075719.0,1394
fib 10,,,82409836.0,1411
fib 10,,,88292697.0,1428
fib 10,,,89331156.0,1445
fib 10,,,85156877.0,1462
fib 10,,,86203193.0,1479
fib 10,,,86944378.0,1496
fib 10,,,88228055.0,1513
fib 10,,,89875935.0,1530
fib 10,,,90009205.0,1547
fib 10,,,91046761.0,1564
fib 10,,,92058176.0,1581
fib 10,,,93004321.0,1598
fib 10,,,96402022.0,1615
fib 10,,,102695234.0,1632
fib 10,,,96406882.0,1649
fib 10,,,96912055.0,1666
fib 10,,,98025687.0,1683
fib 10,,,99237955.0,1700
