group,function,value,sample_time_nanos,iteration_count
fib 10,,,1350826.0,17
fib 10,,,2218843.0,34
fib 10,,,3176806.0,51
fib 10,,,3976419.0,68
fib 10,,,4980663.0,85
fib 10,,,7609818.0,102
fib 10,,,7047171.0,119
fib 10,,,8235551.0,136
fib 10,,,9038240.0,153
fib 10,,,9992892.0,170
fib 10,,,11063946.0,187
fib 10,,,12851062.0,204
fib 10,,,13021924.0,221
fib 10,,,14025796.0,238
fib 10,,,15049966.0,255
fib 10,,,16039577.0,272
fib 10,,,19130286.0,289
fib 10,,,19211073.0,306
fib 10,,,18917966.0,323
fib 10,,,23758616.0,340
fib 10,,,24638598.0,357
fib 10,,,21995005.0,374
fib 10,,,24108890.0,391
fib 10,,,24009228.0,408
fib 10,,,25001096.0,425
fib 10,,,26026126.0,442
fib 10,,,26983669.0,459
fib 10,,,28006028.0,476
fib 10,,,28941775.0,493
fib 10,,,29919013.0,510
fib 10,,,30960987.0,527
fib 10,,,31965488.0,544
fib 10,,,32986677.0,561
fib 10,,,33947545.0,578
fib 10,,,34993115.0,595
fib 10,,,35953151.0,612
fib 10,,,36955546.0,629
fib 10,,,37948927.0,646
fib 10,,,41411475.0,663
fib 10,,,41295346.0,680
fib 10,,,40876222.0,697
fib 10,,,41875613.0,714
fib 10,,,42985505.0,731
fib 10,,,43882341.0,748
fib 10,,,45048825.0,765
fib 10,,,45981705.0,782
fib 10,,,47514974.0,799
fib 10,,,47993089.0,816
fib 10,,,56868473.0,833
fib 10,,,53600086.0,850
fib 10,,,52529275.0,867
fib 10,,,52614903.0,884
fib 10,,,54010066.0,901
fib 10,,,55350931.0,918
fib 10,,,56377029.0,935
fib 10,,,56078820.0,952
fib 10,,,57043315.0,969
fib 10,,,57997820.0,986
fib 10,,,61062060.0,1003
fib 10,,,59972337.0,1020
fib 10,,,60961609.0,1037
fib 10,,,61924812.0,1054
fib 10,,,63000852.0,1071
fib 10,,,64004341.0,1088
fib 10,,,66131683.0,1105
fib 10,,,72092926.0,1122
fib 10,,,68692131.0,1139
fib 10,,,67984076.0,1156
fib 10,,,69023254.0,1173
fib 10,,,69974524.0,1190
fib 10,,,70984851.0,1207
fib 10,,,72155506.0,1224
fib 10,,,72963971.0,1241
fib 10,,,76609084.0,1258
fib 10,,,75129960.0,1275
fib 10,,,75833765.0,1292
fib 10,,,77277549.0,1309
fib 10,,,78147542.0,1326
fib 10,,,91877685.0,1343
fib 10,,,89998171.0,1360
fib 10,,,81592555.0,1377
fib 10,,,82817671.0,1394
fib 10,,,83909080.0,1411
fib 10,,,84203841.0,1428
fib 10,,,85015700.0,1445
fib 10,,,90034377.0,1462
fib 10,,,87982590.0,1479
fib 10,,,88020755.0,1496
fib 10,,,89215803.0,1513
fib 10,,,90345946.0,1530
fib 10,,,99648012.0,1547
fib 10,,,96911696.0,1564
fib 10,,,94343665.0,1581
fib 10,,,94932492.0,1598
fib 10,,,95172821.0,1615
fib 10,,,96208437.0,1632
fib 10,,,104052072.0,1649
fib 10,,,99694567.0,1666
fib 10,,,100011549.0,1683
fib 10,,,103310506.0,1700
